OID_,Field1,cntNo,id,date,timeX,time,lat,lon,tempC,extTemp,activity,speedKm,dir,altM,cov,hdop,distM,count,fileName,insideKNP,idF,dateTime,label
26,8238,8238,SAT1841,2016/02/14 00:00,1899/12/31 00:00:00,14:40:33,-25.19095,31.667033,36,0,0,0,0,359,0,2,876,368,SAT 1841.xlsx,Y,SAT1841,2016/02/14 00:00,1
27,8239,8239,SAT1841,2016/02/15 00:00,1899/12/31 00:00:00,06:40:50,-25.194767,31.6642,25.5,0,0,0,0,334,2,1,512,369,SAT 1841.xlsx,Y,SAT1841,2016/02/15 00:00,0
28,8241,8241,SAT1841,2016/02/15 00:00,1899/12/31 00:00:00,14:40:57,-25.201117,31.715467,37.5,0,0,0,0,290,0,8,5212,371,SAT 1841.xlsx,Y,SAT1841,2016/02/15 00:00,0
29,8244,8244,SAT1841,2016/02/16 00:00,1899/12/31 00:00:00,10:40:50,-25.179433,31.681217,33.5,0,0,0,0,356,1,1,4211,374,SAT 1841.xlsx,Y,SAT1841,2016/02/16 00:00,0
30,8245,8245,SAT1841,2016/02/16 00:00,1899/12/31 00:00:00,18:41:03,-25.182917,31.682983,36.5,0,0,0,0,336,0,3,427,375,SAT 1841.xlsx,Y,SAT1841,2016/02/16 00:00,0
31,8246,8246,SAT1841,2016/02/16 00:00,1899/12/31 00:00:00,22:41:02,-25.1833,31.676167,30.5,0,0,0,0,359,0,2,688,376,SAT 1841.xlsx,Y,SAT1841,2016/02/16 00:00,0
32,8247,8247,SAT1841,2016/02/17 00:00,1899/12/31 00:00:00,02:41:03,-25.185833,31.675133,29,0,0,0,0,352,0,1,301,377,SAT 1841.xlsx,Y,SAT1841,2016/02/17 00:00,0
33,8249,8249,SAT1841,2016/02/17 00:00,1899/12/31 00:00:00,14:40:32,-25.197117,31.6795,34,0,0,0,0,350,5,1,1331,379,SAT 1841.xlsx,Y,SAT1841,2016/02/17 00:00,1
34,8251,8251,SAT1841,2016/02/17 00:00,1899/12/31 00:00:00,18:40:57,-25.20135,31.7156,29.5,0,0,0,0,282,0,3,3667,381,SAT 1841.xlsx,Y,SAT1841,2016/02/17 00:00,1
35,8253,8253,SAT1841,2016/02/18 00:00,1899/12/31 00:00:00,02:40:57,-25.19475,31.66415,28,0,0,0,0,348,5,4,5234,383,SAT 1841.xlsx,Y,SAT1841,2016/02/18 00:00,1
36,8254,8254,SAT1841,2016/02/18 00:00,1899/12/31 00:00:00,14:40:57,-25.19315,31.662333,36.5,0,0,0,0,356,1,2,255,384,SAT 1841.xlsx,Y,SAT1841,2016/02/18 00:00,0
37,8255,8255,SAT1841,2016/02/18 00:00,1899/12/31 00:00:00,18:40:32,-25.193267,31.661033,34,0,0,0,0,353,0,2,132,385,SAT 1841.xlsx,Y,SAT1841,2016/02/18 00:00,1
38,8256,8256,SAT1841,2016/02/18 00:00,1899/12/31 00:00:00,22:40:32,-25.195233,31.66385,25.5,0,0,0,0,336,4,4,358,386,SAT 1841.xlsx,Y,SAT1841,2016/02/18 00:00,1
39,8257,8257,SAT1841,2016/02/19 00:00,1899/12/31 00:00:00,02:41:02,-25.1968,31.66015,23.5,0,0,0,0,351,0,4,411,387,SAT 1841.xlsx,Y,SAT1841,2016/02/19 00:00,1
40,8259,8259,SAT1841,2016/02/19 00:00,1899/12/31 00:00:00,06:40:32,-25.2031,31.654767,24.5,0,0,0,0,348,0,2,886,389,SAT 1841.xlsx,Y,SAT1841,2016/02/19 00:00,1
41,8261,8261,SAT1841,2016/02/19 00:00,1899/12/31 00:00:00,14:40:56,-25.203283,31.6547,36,0,0,0,0,354,0,1,21,391,SAT 1841.xlsx,Y,SAT1841,2016/02/19 00:00,0
42,8262,8262,SAT1841,2016/02/19 00:00,1899/12/31 00:00:00,18:40:57,-25.200367,31.64995,32,0,0,0,0,341,4,4,578,392,SAT 1841.xlsx,Y,SAT1841,2016/02/19 00:00,1
43,8263,8263,SAT1841,2016/02/19 00:00,1899/12/31 00:00:00,22:40:33,-25.178983,31.642067,28.5,0,0,0,0,352,5,1,2509,393,SAT 1841.xlsx,Y,SAT1841,2016/02/19 00:00,0
44,8264,8264,SAT1841,2016/02/20 00:00,1899/12/31 00:00:00,02:41:03,-25.178867,31.642517,29,0,0,0,0,348,1,7,47,394,SAT 1841.xlsx,Y,SAT1841,2016/02/20 00:00,1
45,8266,8266,SAT1841,2016/02/20 00:00,1899/12/31 00:00:00,10:40:32,-25.2032,31.654667,34,0,0,0,0,358,5,3,2972,396,SAT 1841.xlsx,Y,SAT1841,2016/02/20 00:00,1
46,8267,8267,SAT1841,2016/02/20 00:00,1899/12/31 00:00:00,14:40:32,-25.203133,31.6548,38.5,0,0,0,0,350,5,1,15,397,SAT 1841.xlsx,Y,SAT1841,2016/02/20 00:00,1
47,8268,8268,SAT1841,2016/02/20 00:00,1899/12/31 00:00:00,18:40:57,-25.202367,31.650667,35,0,0,0,0,336,0,2,425,398,SAT 1841.xlsx,Y,SAT1841,2016/02/20 00:00,1
48,8271,8271,SAT1841,2016/02/20 00:00,1899/12/31 00:00:00,22:41:03,-25.203083,31.6548,27.5,0,0,0,0,353,0,3,424,401,SAT 1841.xlsx,Y,SAT1841,2016/02/20 00:00,1
49,8273,8273,SAT1841,2016/02/21 00:00,1899/12/31 00:00:00,02:40:56,-25.203133,31.65145,22,0,0,0,0,336,0,2,337,403,SAT 1841.xlsx,Y,SAT1841,2016/02/21 00:00,1
50,8277,8277,SAT1841,2016/02/21 00:00,1899/12/31 00:00:00,14:40:32,-25.204867,31.658433,31,0,0,0,0,350,5,1,729,407,SAT 1841.xlsx,Y,SAT1841,2016/02/21 00:00,1
51,8278,8278,SAT1841,2016/02/21 00:00,1899/12/31 00:00:00,22:40:33,-25.201383,31.65115,28,0,0,0,0,341,0,1,830,408,SAT 1841.xlsx,Y,SAT1841,2016/02/21 00:00,0
52,8285,8285,SAT1841,2016/02/22 00:00,1899/12/31 00:00:00,10:40:32,-25.203117,31.6547,24.5,0,0,0,0,353,0,1,406,415,SAT 1841.xlsx,Y,SAT1841,2016/02/22 00:00,0
53,8288,8288,SAT1841,2016/02/22 00:00,1899/12/31 00:00:00,22:40:57,-25.172917,31.685167,25,0,0,0,0,346,3,2,4552,418,SAT 1841.xlsx,Y,SAT1841,2016/02/22 00:00,1
54,8293,8293,SAT1841,2016/02/24 00:00,1899/12/31 00:00:00,02:40:20,-25.19845,31.65965,25.5,0,0,0,0,357,4,5,3832,423,SAT 1841.xlsx,Y,SAT1841,2016/02/24 00:00,1
55,8295,8295,SAT1841,2016/02/24 00:00,1899/12/31 00:00:00,10:40:52,-25.203267,31.654733,30,0,0,0,0,351,0,1,730,425,SAT 1841.xlsx,Y,SAT1841,2016/02/24 00:00,1
56,8307,8307,SAT1841,2016/02/26 00:00,1899/12/31 00:00:00,10:40:20,-25.203117,31.654683,33.5,0,0,0,0,354,0,2,16,437,SAT 1841.xlsx,Y,SAT1841,2016/02/26 00:00,0
57,8309,8309,SAT1841,2016/02/27 00:00,1899/12/31 00:00:00,02:40:32,-25.222733,31.65825,30,0,0,0,0,290,5,2,2216,439,SAT 1841.xlsx,Y,SAT1841,2016/02/27 00:00,1
58,8313,8313,SAT1841,2016/02/27 00:00,1899/12/31 00:00:00,22:40:32,-25.203817,31.6575,27.5,0,0,0,0,334,0,1,2107,443,SAT 1841.xlsx,Y,SAT1841,2016/02/27 00:00,1
59,8315,8315,SAT1841,2016/02/28 00:00,1899/12/31 00:00:00,02:41:02,-25.199167,31.654383,26.5,0,0,0,0,363,0,1,605,445,SAT 1841.xlsx,Y,SAT1841,2016/02/28 00:00,1
60,8319,8319,SAT1841,2016/02/28 00:00,1899/12/31 00:00:00,14:40:57,-25.20325,31.65475,33.5,0,0,0,0,361,0,4,458,449,SAT 1841.xlsx,Y,SAT1841,2016/02/28 00:00,0
61,8321,8321,SAT1841,2016/02/29 00:00,1899/12/31 00:00:00,22:40:32,-25.205717,31.650683,25,0,0,0,0,339,5,1,493,451,SAT 1841.xlsx,Y,SAT1841,2016/02/29 00:00,1
62,8322,8322,SAT1841,2016/03/01 00:00,1899/12/31 00:00:00,06:40:32,-25.2081,31.651633,25,0,0,0,0,337,0,1,282,452,SAT 1841.xlsx,Y,SAT1841,2016/03/01 00:00,1
63,8323,8323,SAT1841,2016/03/01 00:00,1899/12/31 00:00:00,10:40:32,-25.20325,31.65465,32,0,0,0,0,356,5,4,620,453,SAT 1841.xlsx,Y,SAT1841,2016/03/01 00:00,0
64,8324,8324,SAT1841,2016/03/01 00:00,1899/12/31 00:00:00,14:40:57,-25.203233,31.654783,36.5,0,0,0,0,362,4,3,14,454,SAT 1841.xlsx,Y,SAT1841,2016/03/01 00:00,1
65,8325,8325,SAT1841,2016/03/01 00:00,1899/12/31 00:00:00,18:40:50,-25.204117,31.6502,33.5,0,0,0,0,328,3,5,472,455,SAT 1841.xlsx,Y,SAT1841,2016/03/01 00:00,0
66,8327,8327,SAT1841,2016/03/02 00:00,1899/12/31 00:00:00,06:40:32,-25.321817,31.634933,26,0,0,0,0,292,0,4,13192,457,SAT 1841.xlsx,Y,SAT1841,2016/03/02 00:00,0
67,8328,8328,SAT1841,2016/03/02 00:00,1899/12/31 00:00:00,10:41:03,-25.336467,31.650633,29.5,0,0,0,0,297,1,1,2270,458,SAT 1841.xlsx,Y,SAT1841,2016/03/02 00:00,1
68,8329,8329,SAT1841,2016/03/02 00:00,1899/12/31 00:00:00,14:41:03,-25.336267,31.6509,29.5,0,0,0,0,303,0,12,35,459,SAT 1841.xlsx,Y,SAT1841,2016/03/02 00:00,1
69,8330,8330,SAT1841,2016/03/02 00:00,1899/12/31 00:00:00,22:40:51,-25.3173,31.697167,25.5,0,0,0,0,214,0,2,5112,460,SAT 1841.xlsx,Y,SAT1841,2016/03/02 00:00,0
70,8331,8331,SAT1841,2016/03/03 00:00,1899/12/31 00:00:00,02:40:57,-25.295083,31.68015,29,0,0,0,0,216,5,1,3008,461,SAT 1841.xlsx,Y,SAT1841,2016/03/03 00:00,0
71,8332,8332,SAT1841,2016/03/03 00:00,1899/12/31 00:00:00,10:40:32,-25.328733,31.6646,35,0,0,0,0,270,0,1,4060,462,SAT 1841.xlsx,Y,SAT1841,2016/03/03 00:00,1
72,8337,8337,SAT1841,2016/03/04 00:00,1899/12/31 00:00:00,06:40:33,-25.362267,31.6263,24,0,0,0,0,287,5,2,5365,467,SAT 1841.xlsx,Y,SAT1841,2016/03/04 00:00,0
73,8338,8338,SAT1841,2016/03/04 00:00,1899/12/31 00:00:00,10:40:57,-25.37275,31.611733,32.5,0,0,0,0,253,5,3,1873,468,SAT 1841.xlsx,Y,SAT1841,2016/03/04 00:00,0
74,8341,8341,SAT1841,2016/03/04 00:00,1899/12/31 00:00:00,22:40:51,-25.36855,31.62815,28.5,0,0,0,0,299,0,2,1715,471,SAT 1841.xlsx,Y,SAT1841,2016/03/04 00:00,0
75,8343,8343,SAT1841,2016/03/05 00:00,1899/12/31 00:00:00,10:40:32,-25.37575,31.614367,35.5,0,0,0,0,259,5,1,1601,473,SAT 1841.xlsx,Y,SAT1841,2016/03/05 00:00,0
76,8345,8345,SAT1841,2016/03/05 00:00,1899/12/31 00:00:00,22:40:56,-25.362067,31.62245,27.5,0,0,0,0,287,3,6,1727,475,SAT 1841.xlsx,Y,SAT1841,2016/03/05 00:00,1
77,8346,8346,SAT1841,2016/03/06 00:00,1899/12/31 00:00:00,06:40:32,-25.357033,31.62675,26.5,0,0,0,0,303,5,2,708,476,SAT 1841.xlsx,Y,SAT1841,2016/03/06 00:00,0
78,8348,8348,SAT1841,2016/03/06 00:00,1899/12/31 00:00:00,14:41:03,-25.356533,31.62625,38.5,0,0,0,0,300,2,1,75,478,SAT 1841.xlsx,Y,SAT1841,2016/03/06 00:00,1
79,8349,8349,SAT1841,2016/03/06 00:00,1899/12/31 00:00:00,18:40:52,-25.36675,31.6232,35,0,0,0,0,290,0,4,1178,479,SAT 1841.xlsx,Y,SAT1841,2016/03/06 00:00,1
80,8351,8351,SAT1841,2016/03/07 00:00,1899/12/31 00:00:00,06:40:56,-25.412383,31.64085,27.5,0,0,0,0,270,4,4,5381,481,SAT 1841.xlsx,Y,SAT1841,2016/03/07 00:00,1
81,8354,8354,SAT1841,2016/03/08 00:00,1899/12/31 00:00:00,10:40:32,-25.408783,31.639017,34,0,0,0,0,280,0,1,441,484,SAT 1841.xlsx,Y,SAT1841,2016/03/08 00:00,0
82,8357,8357,SAT1841,2016/03/08 00:00,1899/12/31 00:00:00,22:40:32,-25.4033,31.6308,25,0,0,0,0,266,4,1,1027,487,SAT 1841.xlsx,Y,SAT1841,2016/03/08 00:00,1
83,8358,8358,SAT1841,2016/03/09 00:00,1899/12/31 00:00:00,06:40:32,-25.403,31.628883,22.5,0,0,0,0,247,2,3,196,488,SAT 1841.xlsx,Y,SAT1841,2016/03/09 00:00,1
84,8360,8360,SAT1841,2016/03/09 00:00,1899/12/31 00:00:00,14:40:57,-25.400867,31.641683,26.5,0,0,0,0,289,4,1,1309,490,SAT 1841.xlsx,Y,SAT1841,2016/03/09 00:00,1
85,8361,8361,SAT1841,2016/03/09 00:00,1899/12/31 00:00:00,18:40:57,-25.369283,31.648333,23,0,0,0,0,286,4,4,3579,491,SAT 1841.xlsx,Y,SAT1841,2016/03/09 00:00,0
86,8362,8362,SAT1841,2016/03/09 00:00,1899/12/31 00:00:00,22:40:50,-25.366717,31.648617,24,0,0,0,0,279,3,3,287,492,SAT 1841.xlsx,Y,SAT1841,2016/03/09 00:00,1
87,8364,8364,SAT1841,2016/03/10 00:00,1899/12/31 00:00:00,14:40:26,-25.342733,31.641167,30.5,0,0,0,0,294,2,3,2773,494,SAT 1841.xlsx,Y,SAT1841,2016/03/10 00:00,0
88,8366,8366,SAT1841,2016/03/11 00:00,1899/12/31 00:00:00,02:40:32,-25.317933,31.63245,26,0,0,0,0,305,5,1,2897,496,SAT 1841.xlsx,Y,SAT1841,2016/03/11 00:00,0
89,8367,8367,SAT1841,2016/03/11 00:00,1899/12/31 00:00:00,06:41:02,-25.31605,31.632883,25.5,0,0,0,0,300,5,2,214,497,SAT 1841.xlsx,Y,SAT1841,2016/03/11 00:00,1
90,8368,8368,SAT1841,2016/03/11 00:00,1899/12/31 00:00:00,10:40:54,-25.308917,31.635117,26.5,0,0,0,0,266,2,5,825,498,SAT 1841.xlsx,Y,SAT1841,2016/03/11 00:00,0
91,8371,8371,SAT1841,2016/03/12 00:00,1899/12/31 00:00:00,02:40:56,-25.2986,31.630383,24,0,0,0,0,290,0,1,1243,501,SAT 1841.xlsx,Y,SAT1841,2016/03/12 00:00,1
92,8372,8372,SAT1841,2016/03/12 00:00,1899/12/31 00:00:00,06:40:57,-25.29815,31.631433,23,0,0,0,0,280,1,5,117,502,SAT 1841.xlsx,Y,SAT1841,2016/03/12 00:00,0
93,8375,8375,SAT1841,2016/03/12 00:00,1899/12/31 00:00:00,22:40:50,-25.202683,31.651133,26,0,0,0,0,337,0,1,10811,505,SAT 1841.xlsx,Y,SAT1841,2016/03/12 00:00,0
94,8376,8376,SAT1841,2016/03/13 00:00,1899/12/31 00:00:00,06:40:32,-25.20155,31.65115,25,0,0,0,0,345,1,2,126,506,SAT 1841.xlsx,Y,SAT1841,2016/03/13 00:00,1
95,8381,8381,SAT1841,2016/03/13 00:00,1899/12/31 00:00:00,10:40:32,-25.192717,31.6607,29.5,0,0,0,0,358,0,1,1376,511,SAT 1841.xlsx,Y,SAT1841,2016/03/13 00:00,1
96,8388,8388,SAT1841,2016/03/15 00:00,1899/12/31 00:00:00,22:40:33,-25.1743,31.67945,26.5,0,0,0,0,340,3,10,741,518,SAT 1841.xlsx,Y,SAT1841,2016/03/15 00:00,1
97,8391,8391,SAT1841,2016/03/16 00:00,1899/12/31 00:00:00,02:41:03,-25.173833,31.683133,28,0,0,0,0,336,0,1,375,521,SAT 1841.xlsx,Y,SAT1841,2016/03/16 00:00,1
98,8395,8395,SAT1841,2016/03/17 00:00,1899/12/31 00:00:00,06:40:27,-25.1763,31.683517,26.5,0,0,0,0,335,5,3,277,525,SAT 1841.xlsx,Y,SAT1841,2016/03/17 00:00,1
99,8399,8399,SAT1841,2016/03/17 00:00,1899/12/31 00:00:00,10:40:32,-25.17355,31.682683,33,0,0,0,0,333,0,1,317,529,SAT 1841.xlsx,Y,SAT1841,2016/03/17 00:00,0
100,8404,8404,SAT1841,2016/03/17 00:00,1899/12/31 00:00:00,22:40:52,-25.186633,31.668167,28,0,0,0,0,356,0,4,2064,534,SAT 1841.xlsx,Y,SAT1841,2016/03/17 00:00,0
101,8408,8408,SAT1841,2016/03/18 00:00,1899/12/31 00:00:00,22:40:32,-25.17105,31.676367,27,0,0,0,0,336,0,1,1921,538,SAT 1841.xlsx,Y,SAT1841,2016/03/18 00:00,0
102,8409,8409,SAT1841,2016/03/19 00:00,1899/12/31 00:00:00,02:41:03,-25.168233,31.679917,25,0,0,0,0,322,3,5,476,539,SAT 1841.xlsx,Y,SAT1841,2016/03/19 00:00,0
103,8413,8413,SAT1841,2016/03/19 00:00,1899/12/31 00:00:00,06:40:57,-25.17385,31.68315,28.5,0,0,0,0,333,0,1,705,543,SAT 1841.xlsx,Y,SAT1841,2016/03/19 00:00,0
104,8414,8414,SAT1841,2016/03/19 00:00,1899/12/31 00:00:00,22:40:32,-25.188067,31.668417,27.5,0,0,0,0,366,0,4,2170,544,SAT 1841.xlsx,Y,SAT1841,2016/03/19 00:00,1
105,8418,8418,SAT1841,2016/03/20 00:00,1899/12/31 00:00:00,06:41:02,-25.189083,31.670583,26.5,0,0,0,0,360,4,2,246,548,SAT 1841.xlsx,Y,SAT1841,2016/03/20 00:00,1
106,8420,8420,SAT1841,2016/03/21 00:00,1899/12/31 00:00:00,06:40:33,-25.173433,31.683133,26,0,0,0,0,329,5,2,2153,550,SAT 1841.xlsx,Y,SAT1841,2016/03/21 00:00,1
107,8423,8423,SAT1841,2016/03/22 00:00,1899/12/31 00:00:00,02:40:26,-25.184017,31.6894,23.5,0,0,0,0,323,2,6,1337,553,SAT 1841.xlsx,Y,SAT1841,2016/03/22 00:00,1
108,8424,8424,SAT1841,2016/03/22 00:00,1899/12/31 00:00:00,06:40:32,-25.182667,31.6895,24,0,0,0,0,322,5,2,151,554,SAT 1841.xlsx,Y,SAT1841,2016/03/22 00:00,1
109,8425,8425,SAT1841,2016/03/22 00:00,1899/12/31 00:00:00,10:40:36,-25.186733,31.692583,27,0,0,0,0,342,5,18,549,555,SAT 1841.xlsx,Y,SAT1841,2016/03/22 00:00,0
110,8426,8426,SAT1841,2016/03/22 00:00,1899/12/31 00:00:00,18:40:57,-25.18,31.708617,23.5,0,0,0,0,321,1,5,1781,556,SAT 1841.xlsx,Y,SAT1841,2016/03/22 00:00,0
111,8427,8427,SAT1841,2016/03/22 00:00,1899/12/31 00:00:00,22:41:04,-25.1793,31.707383,27,0,0,0,0,328,0,3,147,557,SAT 1841.xlsx,Y,SAT1841,2016/03/22 00:00,0
112,8428,8428,SAT1841,2016/03/23 00:00,1899/12/31 00:00:00,02:40:32,-25.178633,31.70145,24,0,0,0,0,298,5,2,602,558,SAT 1841.xlsx,Y,SAT1841,2016/03/23 00:00,0
113,8431,8431,SAT1841,2016/03/23 00:00,1899/12/31 00:00:00,06:40:32,-25.178983,31.70105,24,0,0,0,0,302,0,4,56,561,SAT 1841.xlsx,Y,SAT1841,2016/03/23 00:00,0
114,8437,8437,SAT1841,2016/03/23 00:00,1899/12/31 00:00:00,22:40:56,-25.17535,31.6863,24.5,0,0,0,0,347,3,3,1540,567,SAT 1841.xlsx,Y,SAT1841,2016/03/23 00:00,1
115,8438,8438,SAT1841,2016/03/24 00:00,1899/12/31 00:00:00,22:40:32,-25.193983,31.7167,26,0,0,0,0,290,0,1,3699,568,SAT 1841.xlsx,Y,SAT1841,2016/03/24 00:00,0
116,8442,8442,SAT1841,2016/03/25 00:00,1899/12/31 00:00:00,06:40:57,-25.200733,31.71785,25,0,0,0,0,280,0,4,760,572,SAT 1841.xlsx,Y,SAT1841,2016/03/25 00:00,0
117,8447,8447,SAT1841,2016/03/27 00:00,1899/12/31 00:00:00,10:40:33,-25.190167,31.7024,33,0,0,0,0,302,5,7,1951,577,SAT 1841.xlsx,Y,SAT1841,2016/03/27 00:00,0
118,8449,8449,SAT1841,2016/03/27 00:00,1899/12/31 00:00:00,14:40:32,-25.19135,31.704967,31.5,0,0,0,0,279,0,2,290,579,SAT 1841.xlsx,Y,SAT1841,2016/03/27 00:00,0
119,8452,8452,SAT1841,2016/03/28 00:00,1899/12/31 00:00:00,02:40:57,-25.18165,31.6851,23,0,0,0,0,335,0,2,2274,582,SAT 1841.xlsx,Y,SAT1841,2016/03/28 00:00,1
120,8455,8455,SAT1841,2016/03/28 00:00,1899/12/31 00:00:00,22:40:50,-25.190917,31.693767,26,0,0,0,0,321,2,1,1351,585,SAT 1841.xlsx,Y,SAT1841,2016/03/28 00:00,1
121,8456,8456,SAT1841,2016/03/29 00:00,1899/12/31 00:00:00,02:41:02,-25.194267,31.702083,23.5,0,0,0,0,303,0,3,917,586,SAT 1841.xlsx,Y,SAT1841,2016/03/29 00:00,0
122,8457,8457,SAT1841,2016/03/29 00:00,1899/12/31 00:00:00,06:41:03,-25.192533,31.703467,26.5,0,0,0,0,293,0,0,238,587,SAT 1841.xlsx,Y,SAT1841,2016/03/29 00:00,1
123,8459,8459,SAT1841,2016/03/29 00:00,1899/12/31 00:00:00,14:40:32,-25.191933,31.705367,30,0,0,0,0,287,1,1,203,589,SAT 1841.xlsx,Y,SAT1841,2016/03/29 00:00,1
124,8461,8461,SAT1841,2016/03/29 00:00,1899/12/31 00:00:00,22:40:32,-25.181517,31.70375,25.5,0,0,0,0,306,0,1,1171,591,SAT 1841.xlsx,Y,SAT1841,2016/03/29 00:00,1
